Activity,Start_Date,End_Date,Manager
Project Initiation and Planning,2026-01-05,2026-01-19,Anne Mills
Site Survey and Geotechnical Investigation,2026-01-20,2026-02-10,John Smith
Prepare Architectural Drawings,2026-02-11,2026-04-15,Sarah Johnson
Prepare Structural Drawings,2026-03-15,2026-06-30,Michael Chen
Prepare MEP Drawings - Plumbing,2026-04-20,2026-07-15,David Brown
Prepare MEP Drawings - Electrical,2026-04-20,2026-07-15,Emily Davis
Prepare MEP Drawings - HVAC,2026-04-25,2026-07-20,Robert Wilson
Foundation Design and Analysis,2026-03-15,2026-05-01,Michael Chen
Structural Analysis - Superstructure,2026-05-02,2026-06-15,Michael Chen
Building Permit Application,2026-07-16,2026-08-30,Anne Mills
Material Specifications and Procurement,2026-06-01,2026-07-31,David Brown
Construction Planning and Scheduling,2026-08-01,2026-09-15,John Smith
Cost Estimation and Budget Preparation,2026-07-01,2026-08-15,Anne Mills
Fire Safety Analysis and Design,2026-05-15,2026-07-01,Robert Wilson
Energy Efficiency Analysis,2026-06-01,2026-07-30,Emily Davis
Landscape Design,2026-05-20,2026-07-15,Sarah Johnson
Interior Design Coordination,2026-06-15,2026-08-30,Sarah Johnson
Drainage System Design,2026-04-25,2026-06-20,David Brown
Water Supply System Design,2026-04-30,2026-06-25,David Brown
Lighting Design - Interior,2026-05-25,2026-07-10,Emily Davis
Lighting Design - Exterior,2026-05-30,2026-07-15,Emily Davis
Acoustic Design and Analysis,2026-06-05,2026-07-25,Robert Wilson
Wind Load Analysis,2026-03-20,2026-04-30,Michael Chen
Seismic Analysis,2026-03-25,2026-05-05,Michael Chen
Interdisciplinary Coordination Review,2026-07-01,2026-08-15,Anne Mills
Quantity Takeoff,2026-08-01,2026-09-01,John Smith
Tender Document Preparation,2026-08-16,2026-09-30,Anne Mills
Construction Drawings - Phase 1,2026-07-20,2026-09-15,Sarah Johnson
Construction Drawings - Phase 2,2026-09-16,2026-10-30,Sarah Johnson
As-Built Documentation Preparation,2026-11-01,2026-12-15,John Smith
